1374	content_based_filtering	Content-based filtering: item features, user profiles, TF-IDF for items, cosine similarity
1375	collaborative_filtering	Collaborative filtering: user-based CF, item-based CF, neighborhood methods
1376	matrix_factorization	Matrix factorization: SVD, ALS (Alternating Least Squares), SVD++, NMF
1378	bpr	BPR (Bayesian Personalized Ranking): pairwise optimization for implicit feedback
1379	hybrid_methods	Hybrid methods: weighted, switching, cascade, feature augmentation
1380	cold_start_problem	Cold start problem: for new users, new items, solutions (side information, content-based fallback, popularity-based)
1381	neural_collaborative_filtering	Neural Collaborative Filtering (NCF): MLP replacing inner product
1382	autoencoders_for_cf	Autoencoders for CF: AutoRec, Mult-VAE, EASE^R
1384	deepfm	DeepFM: factorization machines + deep neural network
1385	dcn	DCN (Deep & Cross Network): explicit feature crosses
1387	dien	DIEN (Deep Interest Evolution Network): interest evolution with GRU
1388	bst	BST (Behavior Sequence Transformer): Transformer for user sequence
1389	sasrec	SASRec: self-attentive sequential recommendation
1390	bert4rec	BERT4Rec: bidirectional model for sequential recommendation
1391	gnn_based_recommendations	GNN-based recommendations: PinSage, LightGCN, NGCF
1392	two_tower_model	Two-tower model: separate user & item encoders, approximate nearest neighbour retrieval
1393	multi_stage_architecture	Multi-stage architecture: candidate generation → pre-ranking → ranking → re-ranking
1394	candidate_generation	Candidate generation: approximate nearest neighbour (ANN), HNSW, FAISS, ScaNN
1395	feature_engineering_for_recsys	Feature engineering for RecSys: user features, item features, context features, cross features
1396	click_through_rate	Click-Through Rate (CTR) prediction: logistic regression, GBDT, DNN, multi-task models
1397	multi_task_learning_in_recsys	Multi-task learning in RecSys: ESMM (Entire Space Multi-Task Model), MMOE (Multi-gate Mixture-of-Experts), PLE
1398	position_bias_debiasing	Position bias & debiasing: inverse propensity weighting, position features
1399	diversity_novelty_in_recommendations	Diversity & novelty in recommendations: MMR (Maximal Marginal Relevance), DPP (Determinantal Point Processes)
1400	exploration_vs_exploitation	Exploration vs exploitation: ε-greedy, Thompson sampling, UCB, contextual bandits (LinUCB)
1401	real_time_recommendation	Real-time recommendation: online learning, feature freshness
1402	session_based_recommendations	Session-based recommendations: GRU4Rec, SR-GNN
1403	offline_metrics	Offline metrics: Precision@K, Recall@K, F1@K, Hit Rate@K, NDCG@K, MAP, MRR, AUC, log loss, coverage, diversity, novelty, serendipity
1404	online_metrics	Online metrics: CTR, conversion rate, revenue per impression, engagement time, retention
1405	a_b_testing_for_recsys	A/B testing for RecSys: interleaving experiments, long-term effects
1406	bias_in_offline_evaluation	Bias in offline evaluation: popularity bias, selection bias
1407	llms_as_recommenders	LLMs as recommenders: prompt-based ranking, in-context recommendation
1408	llms_for_feature_enrichment	LLMs for feature enrichment: generating item descriptions, user intent extraction
1409	conversational_recommendation_systems	Conversational recommendation systems
1410	knowledge_graph_enhanced_recommendations	Knowledge-graph-enhanced recommendations
1413	popularity_bias_filter_bubble_echo_chamber	Popularity bias, filter bubble, echo chamber
1414	user_item_interaction_matrix	User-item interaction matrix: sparsity
1415	long_tail_distribution_of_items	Long-tail distribution of items
1417	position_bias_in_implicit_feedback	Position bias in implicit feedback
1418	user_based_cf	User-based CF: find similar users, recommend their items
1419	item_based_cf	Item-based CF: find similar items based on co-interaction
1420	similarity_metrics	Similarity metrics: cosine, Pearson, Jaccard
1421	neighborhood_size_selection	Neighborhood size selection
1422	sparsity_problem_scalability	Sparsity problem, scalability
1423	basic_mf	Basic MF: P × Q^T ≈ R (user × factor, item × factor)
1424	regularized_mf_with_sgd	Regularized MF with SGD
1425	als	ALS (Alternating Least Squares): parallelizable, implicit feedback
1426	weighted_als_for_implicit_feedback	Weighted ALS for implicit feedback (hu et al. 2008)
1427	svd	SVD++: incorporating implicit feedback as side information
1428	pmf	PMF (Probabilistic Matrix Factorization): Bayesian
